# avg_r,avg_g
35.56,101.18
35.16,95.45
29.07,100.09
41.46,97.85
39.17,99.69
32.01,102.36
34.62,100.39
33.22,100.65
30.65,103.31
33.75,98.81
32.43,98.31
36.54,98.20
41.46,103.94
35.03,98.68
33.98,103.94
38.36,102.06
38.22,95.58
29.55,101.49
39.77,97.75
36.62,103.36
33.63,99.93
33.30,103.18
37.96,101.72
39.41,102.43
31.35,93.86
34.91,101.72
24.35,102.94
32.46,98.84
35.68,93.31
39.04,97.63
37.23,106.71
33.39,97.77
31.34,98.72
32.61,99.59
35.83,94.63
39.88,103.35
35.15,100.13
37.21,100.38
40.50,99.68
34.53,98.13
34.05,102.80
36.29,95.17
36.36,99.07
41.01,96.91
35.55,101.16
34.09,102.68
36.05,97.64
33.33,99.33
39.32,101.72
39.11,99.18
31.67,96.35
38.19,101.94
36.29,102.11
40.20,95.43
32.79,98.76
36.57,99.21
38.11,100.39
36.78,100.90
28.40,103.77
36.44,98.16
30.10,99.12
38.94,92.98
38.11,95.75
37.66,98.26
36.92,96.25
39.45,97.99
33.54,101.33
34.27,96.42
32.86,95.24
34.94,106.92
30.84,98.66
34.34,100.19
41.48,100.65
34.88,101.34
36.16,100.22
32.39,99.08
35.78,103.15
37.01,100.97
39.08,98.22
35.49,99.17
36.81,98.96
34.74,101.42
33.87,100.65
36.61,102.53
38.56,98.27
34.96,97.96
36.37,104.00
35.43,99.64
34.65,105.21
35.72,101.83
32.82,103.93
29.85,100.56
32.15,103.70
38.21,97.70
38.57,100.31
31.87,100.09
34.21,101.40
38.11,100.22
30.29,103.19
36.24,97.86
34.58,100.69
30.99,97.91
37.88,99.59
30.36,94.67
34.86,101.03
33.79,97.27
35.05,97.27
37.95,101.04
31.31,101.44
32.06,94.09
32.34,97.26
35.79,98.17
41.29,98.92
35.86,100.67
41.36,102.31
34.66,98.86
36.00,101.85
35.30,101.80
30.90,95.87
37.32,96.98
37.20,102.24
32.05,99.37
36.00,96.43
36.79,100.25
30.63,103.40
38.78,103.83
33.74,100.08
32.54,102.06
36.45,101.07
36.02,93.79
32.00,100.18
32.47,96.95
39.01,101.31
33.50,100.83
33.30,103.03
33.34,99.79
37.09,99.82
30.18,103.28
33.26,106.77
35.08,99.99
35.50,103.40
32.01,99.66
35.87,94.63
36.01,99.78
37.96,97.41
32.69,102.80
35.39,99.97
35.37,97.76
34.05,96.72
39.18,95.70
40.68,99.48
28.62,97.50
30.90,97.12
31.41,97.20
32.81,105.11
35.27,97.06
38.51,100.26
31.97,101.66
34.40,101.80
31.78,97.49
43.87,104.09
36.05,100.54
38.76,94.31
31.62,99.43
38.60,94.55
31.84,102.22
38.63,105.70
35.42,99.79
33.71,96.94
39.64,99.86
39.76,102.11
33.78,98.51
34.60,99.99
36.82,99.85
35.52,97.07
39.48,100.89
33.99,102.88
40.11,96.05
35.75,99.89
37.65,103.07
39.80,98.28
32.18,102.73
32.91,98.28
38.16,101.11
33.43,94.87
30.95,95.45
33.34,102.38
36.09,99.03
33.14,102.63
31.97,97.08
35.65,102.22
36.74,97.47
39.46,102.76
31.08,101.12
34.28,104.14
38.55,100.41
29.84,94.12
40.78,96.81
30.41,106.36
32.96,100.57
35.39,101.63
35.41,98.98
35.10,100.58
36.57,100.96
30.45,102.76
34.30,100.11
33.04,99.62
36.10,97.87
32.05,98.85
33.34,97.74
32.69,93.17
37.16,98.93
38.01,94.56
34.07,98.83
39.16,98.44
37.97,100.89
32.55,98.15
33.62,100.90
29.20,101.51
34.62,92.01
33.47,100.54
33.94,102.45
35.63,97.23
37.79,101.02
37.21,101.20
35.01,100.31
31.77,104.20
37.26,105.27
34.68,100.02
35.95,104.67
39.05,97.82
36.83,102.34
34.46,105.72
36.27,103.38
38.72,99.93
36.91,103.28
36.52,101.69
38.77,105.83
40.30,98.43
35.48,102.18
31.11,97.08
32.36,103.19
32.80,97.14
31.65,98.26
41.09,99.78
32.23,101.38
33.30,100.90
33.41,103.41
35.95,102.61
35.81,100.91
36.46,94.92
33.32,99.28
36.24,100.50
36.01,97.48
32.03,99.45
28.06,99.87
35.79,101.32
32.33,101.31
37.02,99.25
36.47,98.52
32.80,101.14
34.67,104.65
29.10,93.92
35.29,95.04
33.33,97.60
32.95,100.72
36.75,96.55
34.87,101.29
35.12,95.50
38.18,102.01
31.11,96.95
35.62,104.72
35.03,101.17
35.45,103.50
34.54,101.32
38.01,98.09
32.76,97.36
36.40,102.87
34.52,99.69
34.82,104.73
33.74,100.45
36.45,94.72
29.32,99.50
33.00,102.40
34.18,107.16
32.35,101.92
32.34,100.06
29.93,98.47
37.00,97.61
33.83,101.16
31.99,97.16
34.13,98.89
29.54,103.95
37.90,98.33
35.54,97.91
34.39,104.60
32.78,104.31
35.43,102.37
33.38,103.97
42.42,97.46
30.27,97.77
36.65,99.58
35.12,97.29
38.15,95.38
35.28,101.41
38.87,101.07
32.01,102.88
35.00,96.20
30.52,101.36
31.06,99.57
34.07,102.68
24.72,97.63
35.85,93.71
36.01,106.13
33.26,100.29
35.07,105.48
35.73,103.46
33.06,104.28
38.77,102.22
34.02,97.38
36.86,104.00
35.41,100.30
34.60,101.56
30.75,101.41
33.13,92.53
32.08,92.42
33.98,97.32
33.11,104.57
33.74,100.91
37.22,101.41
36.61,100.06
43.05,99.71
37.55,101.97
34.00,105.49
35.66,100.19
35.71,98.65
30.66,98.19
34.88,106.23
34.46,98.21
36.84,103.97
32.32,95.01
29.67,99.82
40.07,99.82
30.75,102.49
33.87,100.96
31.35,96.65
37.18,103.34
33.02,93.04
40.27,101.61
34.96,98.98
30.76,102.94
39.42,99.93
37.36,99.26
38.48,102.83
36.51,103.80
32.22,105.19
31.56,102.58
32.34,96.10
41.92,100.89
37.43,100.62
38.39,99.97
30.43,97.40
36.96,100.78
28.87,99.96
33.26,103.11
36.54,97.12
33.94,98.09
31.96,98.01
35.34,98.81
36.58,95.25
31.74,100.40
33.32,96.90
32.38,96.85
35.30,100.83
31.77,98.57
34.98,104.41
40.72,101.99
35.02,100.55
37.24,97.14
31.60,103.30
32.82,100.70
31.06,101.75
36.23,95.71
35.57,97.26
31.21,103.63
37.33,100.20
38.41,102.17
38.56,96.18
33.69,102.17
36.52,102.45
32.24,96.05
39.71,96.79
29.51,100.30
33.99,97.17
36.10,102.16
34.83,103.90
32.50,100.09
33.16,98.52
36.20,97.63
34.52,97.02
39.60,99.07
37.27,102.71
40.81,101.89
40.74,98.72
35.92,100.79
33.56,100.79
32.79,98.93
32.28,101.68
36.27,102.89
34.33,97.13
39.03,104.06
31.71,97.86
37.03,103.39
40.18,100.24
34.82,97.18
37.87,101.35
33.62,98.98
30.09,99.82
34.39,96.59
32.02,101.38
29.73,98.80
41.05,99.78
30.05,99.98
35.02,99.89
31.59,97.71
35.42,101.80
37.96,103.25
34.71,97.54
35.99,95.78
38.80,99.74
38.81,100.48
36.72,99.87
32.42,95.26
32.00,104.17
37.74,104.64
32.36,92.96
38.49,98.50
36.34,99.71
40.40,98.84
34.06,102.19
37.90,94.52
34.48,103.72
38.52,103.97
35.57,101.22
35.20,100.61
36.54,99.84
29.97,98.56
34.59,93.87
36.34,103.59
30.67,100.65
28.45,96.97
37.72,98.95
31.22,95.02
40.40,101.01
35.48,105.25
33.43,97.03
30.85,104.50
29.14,96.79
38.69,97.62
35.52,95.57
40.48,100.85
38.04,99.68
38.51,97.74
34.90,104.56
32.72,104.95
39.16,98.23
39.71,98.57
35.79,94.76
35.75,102.31
36.65,98.03
35.86,100.55
39.16,95.61
37.03,101.52
34.18,100.94
35.91,98.69
35.53,95.35
33.45,99.79
33.88,98.37
33.47,102.74
32.73,98.27
37.99,98.42
41.28,103.50
34.61,98.45
36.73,94.47
33.70,98.22
32.68,103.56
31.23,98.31
33.98,99.19
37.66,104.60
35.34,95.51
33.73,101.34
31.33,102.47
30.29,94.18
37.28,98.35
33.81,98.24
33.61,98.73
37.47,100.86
34.32,96.51
35.07,100.97
30.33,101.32
34.30,96.95
37.57,102.83
32.05,100.95
35.69,101.60
35.13,100.90
37.44,103.40
30.57,103.92
34.41,100.03
39.06,101.93
36.31,99.54
32.74,104.28
36.59,99.08
37.76,98.39
36.59,102.82
39.57,100.90
24.64,99.88
37.41,98.67
36.59,97.61
40.30,98.34
36.22,98.09
38.14,100.92
30.50,100.38
32.64,99.40
39.96,97.36
37.98,99.93
35.54,100.31
34.40,101.56
34.34,104.22
39.11,96.88
36.48,97.03
40.57,100.11
41.47,95.51
37.52,100.00
35.14,104.35
31.73,96.07
38.80,100.87
36.33,98.78
35.66,102.58
32.27,102.42
35.76,102.57
33.29,99.09
36.09,100.56
34.38,102.49
36.94,102.56
31.03,99.70
31.07,100.70
33.38,102.38
33.99,97.81
32.13,99.66
35.13,100.20
30.81,96.25
32.23,101.32
36.80,102.14
32.77,101.64
37.67,97.17
28.01,97.86
38.66,97.43
35.51,102.34
32.45,101.38
34.46,101.60
33.86,97.77
35.30,96.37
36.01,102.76
36.08,103.22
32.56,101.01
33.55,99.95
35.91,99.72
37.43,97.95
33.01,98.70
37.64,103.55
34.01,98.56
35.91,98.43
35.63,103.58
33.47,96.39
37.41,101.22
39.68,105.22
31.29,103.19
38.85,99.48
38.37,101.95
34.89,106.30
37.35,101.52
39.89,102.02
30.28,99.91
41.00,96.03
35.43,97.61
32.55,98.17
33.95,101.55
32.06,105.18
35.04,104.02
38.10,95.63
37.75,100.83
33.76,99.86
27.66,101.83
31.39,100.72
32.97,111.72
39.41,105.25
33.99,97.37
35.05,99.08
26.52,100.00
31.74,96.50
28.19,95.90
36.95,99.97
32.88,101.51
38.05,98.17
28.53,103.75
33.00,95.50
32.80,100.05
35.70,108.56
39.05,98.11
39.63,98.70
37.85,98.12
35.86,101.36
35.25,98.01
33.71,95.17
27.95,103.43
38.61,100.00
34.55,97.76
34.70,96.44
34.37,98.25
30.31,99.49
37.41,94.09
37.02,95.37
32.05,101.08
33.63,102.10
37.01,96.90
38.96,96.29
37.02,99.47
35.01,97.41
36.47,98.98
38.48,99.40
37.14,96.49
38.06,98.61
29.17,96.83
35.45,103.09
34.95,104.50
42.55,98.66
34.01,104.64
31.14,98.56
36.19,100.98
35.09,97.99
35.23,101.07
40.10,105.15
32.13,101.43
33.53,102.96
39.21,97.35
33.67,99.22
38.36,100.25
33.83,102.00
35.59,99.93
35.54,97.64
38.75,97.14
36.36,97.96
32.54,100.42
39.45,104.32
31.51,97.74
31.57,98.38
32.44,104.37
35.37,99.30
31.11,98.52
35.15,99.34
36.06,98.07
32.79,98.33
35.78,100.89
38.61,100.16
33.63,97.33
36.38,99.85
34.53,104.71
35.98,103.34
32.89,98.06
36.03,103.24
42.56,100.38
31.66,97.03
35.32,102.65
40.15,100.44
32.67,97.68
33.89,97.89
35.23,100.08
37.78,100.13
32.99,100.91
32.30,101.72
31.19,100.94
39.45,98.43
34.80,102.73
34.94,100.19
32.05,99.83
36.92,96.97
33.93,99.81
28.39,97.19
35.60,95.96
34.34,103.18
36.22,97.65
34.41,98.47
33.80,94.92
31.68,103.16
35.18,99.94
37.98,100.84
40.87,103.62
34.59,100.54
33.49,103.32
37.32,96.74
29.84,95.45
33.52,94.44
31.00,100.48
32.68,98.42
34.43,99.39
35.29,104.72
34.14,95.54
34.53,101.36
37.66,103.01
28.39,99.52
34.95,103.06
38.84,92.57
39.14,102.20
38.06,101.17
34.94,98.40
33.80,103.92
39.80,99.68
34.07,98.65
36.96,95.43
30.79,94.62
34.41,97.29
33.87,105.16
32.84,104.86
39.57,106.23
36.40,101.80
38.37,102.36
33.59,105.36
35.74,103.45
34.00,93.53
34.59,101.69
30.74,102.76
35.60,97.40
34.27,103.56
34.49,101.77
32.01,97.78
38.18,99.48
33.51,101.38
37.51,95.87
39.04,102.79
34.78,98.10
33.49,103.16
33.48,103.87
31.86,94.77
35.40,103.92
33.10,98.76
38.92,101.35
